emp_no,first_name,last_name,title,from_date,to_date
10011,Mary,Sluis,Staff,1990-01-22,1996-11-09
10073,Shir,McClurg,Engineer,1998-02-02,1998-02-22
10101,Perla,Heyers,Staff,1998-10-14,2000-09-23
10108,Lunjin,Giveon,Staff,1999-03-20,2001-10-20
10116,Dayanand,Czap,Senior Engineer,1994-02-27,1998-11-01
10131,Magdalena,Eldridge,Engineer,1999-09-17,1999-12-06
10149,Xiadong,Perry,Staff,1994-01-28,1996-08-27
10152,Jaques,Munro,Engineer,1986-01-27,1987-08-03
10161,Hairong,Mellouli,Engineer,1991-06-09,1994-01-05
10177,Pragnesh,Iisaka,Staff,1993-02-06,1994-03-17
10186,Shigehito,Kropatsch,Staff,1996-12-25,1997-08-16
10189,Khalid,Erva,Engineer,1992-09-13,1993-06-29
10217,Yongmin,Roison,Technique Leader,1986-05-12,1993-08-05
10229,Ulises,Takanami,Engineer,1996-02-20,2000-06-30
10237,Yannis,Mandell,Senior Staff,1997-08-11,2000-02-21
10278,Lubomir,Nitsch,Engineer,1993-07-02,1997-02-14
10286,Saddek,Gopalakrishnan,Staff,1994-12-24,1999-01-24
10294,Rutger,Miara,Senior Engineer,1999-01-30,1999-05-04
10302,Faiza,Baer,Senior Staff,1994-07-22,1999-11-09
10305,Hirochika,Piancastelli,Engineer,1988-10-31,1992-06-02
10321,Guenter,Ravishankar,Staff,1995-07-24,1999-08-14
10327,Roded,Facello,Engineer,1987-09-18,1993-05-22
10350,Kristen,Kavvadias,Engineer,1997-05-10,1998-01-16
10363,Toshiki,Muniz,Assistant Engineer,1985-09-11,1993-02-12
10374,Willard,Rosin,Staff,1993-12-08,1996-03-29
10382,Shirish,Dredge,Engineer,1998-07-01,2000-10-27
10395,Takahiro,Deverell,Engineer,1998-08-10,2001-08-13
10414,Yinlin,Alpin,Senior Engineer,1990-05-30,1994-12-02
10442,Volkmar,Unno,Senior Staff,1999-02-12,2001-03-13
10443,Shichao,Litvinov,Senior Engineer,1989-08-01,2002-07-06
10466,Jiakeng,Himler,Staff,1997-08-22,2000-08-15
10519,Yonghoan,Alencar,Senior Staff,2000-12-05,2001-10-13
10538,Przemyslawa,Falby,Senior Engineer,1987-07-23,1998-12-13
10541,Godehard,Eiter,Staff,1986-02-28,1986-10-01
10575,Theirry,Yeung,Senior Engineer,1988-10-04,2000-11-22
10591,Hidde,Hettesheimer,Staff,1987-06-18,1988-09-20
10608,Adhemar,Talmor,Senior Engineer,1986-05-25,1991-06-02
10617,Hidekazu,Angel,Senior Staff,1991-10-30,2001-10-03
10629,Lalit,Francisci,Staff,1999-10-20,2001-12-07
10637,Heejo,Frolund,Senior Staff,1998-07-11,2000-01-19
10672,Bluma,Zeilberger,Senior Engineer,1991-09-29,1996-04-19
10694,Rildo,Straney,Senior Staff,1993-01-25,2001-07-11
10731,Fumitaka,Peak,Senior Staff,1994-02-20,2000-10-09
10747,Falguni,Khalid,Senior Engineer,1990-10-08,1999-09-20
10751,Jordanka,Ushiama,Engineer,1999-12-14,2000-12-05
10777,Mizuhito,Kemmerer,Senior Engineer,1996-03-16,2001-03-27
10780,Goncalo,Staudhammer,Engineer,1994-08-01,1996-08-18
10782,Kish,Perna,Staff,1997-07-06,2002-03-30
10801,Uinam,Zschoche,Engineer,1998-04-07,2001-01-15
10803,Katsuyuki,Velasco,Senior Engineer,1997-04-20,2002-04-02
10829,Alper,Narahara,Staff,1993-07-21,1993-11-29
10867,Billur,Gyorkos,Engineer,1997-03-23,2002-03-22
10876,Vincent,Papastamatiou,Staff,1995-01-29,1999-09-14
10895,Vishwani,Petersohn,Staff,1986-04-26,1987-04-13
10912,Oscal,Fasbender,Senior Staff,1991-04-23,1999-09-26
10918,Susumu,Reghbati,Staff,1990-01-29,1990-10-10
10922,Kyoichi,Wossner,Staff,1996-02-02,1999-01-16
10940,Aleksander,Fioravanti,Engineer,1997-06-30,1999-12-02
10948,Shigehito,Brodie,Senior Engineer,1996-09-30,1997-06-23
10971,Isamu,Vadhan,Technique Leader,1991-07-30,1998-10-24
10985,Chiradeep,Furedi,Engineer,1999-02-11,1999-03-10
11002,Bluma,Ulupinar,Senior Staff,1998-11-21,2001-12-07
11024,Manton,Collavizza,Staff,1995-04-05,2001-05-18
11028,Miyeon,Krider,Senior Engineer,1991-06-18,1997-09-04
11060,Genevieve,Pokrovskii,Staff,1991-05-03,1991-09-27
11077,Hideyuki,Merro,Senior Staff,1998-04-30,1998-10-11
11110,Valeska,Birjandi,Staff,1987-11-14,1992-03-30
11114,Tse,Felcyn,Staff,1993-02-13,1999-06-22
11119,Ramzi,Luga,Engineer,1994-06-21,1995-10-23
11145,Jinxi,Baak,Engineer,1999-04-23,1999-05-24
11156,Tomoyuki,Armand,Staff,1995-09-07,1998-07-31
11195,Masanao,Lovengreen,Senior Engineer,1991-06-13,1999-05-16
11203,Sakthirel,Yetto,Senior Staff,1996-01-06,1996-06-15
11206,Steen,Sury,Staff,1993-05-07,2000-05-04
11218,Kirk,Hemaspaandra,Technique Leader,1994-04-06,2002-04-19
11221,Alselm,Hammerschmidt,Engineer,1989-08-22,1995-03-13
11288,Domenico,Eastman,Senior Staff,1997-06-03,1997-09-28
11291,Gino,Glowinski,Senior Engineer,1985-10-20,2001-04-15
11297,Geraldo,Levergood,Engineer,1991-02-16,1991-02-22
